departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
5,antioquia,5664,SAN PEDRO DE LOS MILAGROS,ESTACION DE SERVICIO SERVICENTRO SAN PEDRO,TERPEL,CARRERA 49 No. 45-20 SAN MATEO LA BOMBA,GASOLINA CORRIENTE OXIGENADA,9099,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LOS GUADUALES,TEXACO,CALLE 70  No. 8N-50,BIODIESEL EXTRA,8370,1,2018-05-03T00:00:00.000
5,antioquia,5148,EL CARMEN DE VIBORAL,ESTACION DE SERVICIO DISTRACOM EL PORTICO,MOBIL,CARRERA 31 No. 44-130,GASOLINA EXTRA OXIGENADA,11750,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO ALTAVISTA,TERPEL,CALLE 18D No. 89-11 (110),BIODIESEL EXTRA,8440,1,2018-05-03T00:00:00.000
76,valle del cauca,76736,SEVILLA,ESTACION DE SERVICIO BOMBEROS,TERPEL,CARRERA 51 N° 47-43,BIODIESEL EXTRA,8900,1,2018-05-03T00:00:00.000
76,valle del cauca,76520,PALMIRA,ESTACION DE SERVICIO AUTOMOTRIZ LAS VICTORIAS,TERPEL,CARRERA 32 No. 15-05,BIODIESEL EXTRA,8312,1,2018-05-03T00:00:00.000
76,valle del cauca,76895,ZARZAL,ESTACION  Y ALMACEN DE REPUESTOS EL TRIANGULO,TERPEL,Calle 5 No. 10-61,BIODIESEL EXTRA,8480,1,2018-05-03T00:00:00.000
5,antioquia,5129,CALDAS,ZEUSS LA 50 CALDAS,ZEUSS,CARRERA 50 No. 122 SUR-37,GASOLINA CORRIENTE OXIGENADA,8750,1,2018-05-03T00:00:00.000
5,antioquia,5237,DON MATIAS,ESTACION DE SERVICIO DISTRACOM VILLA MARIA,TEXACO,CALLE 28 No. 7-29-45-63,GASOLINA EXTRA OXIGENADA,11470,1,2018-05-03T00:00:00.000
76,valle del cauca,76275,FLORIDA,ESTACION DE SERVICIO FLORIDA EU,BIOMAX,CRA 17 N° 6 - 10,GASOLINA CORRIENTE OXIGENADA,8960,1,2018-05-03T00:00:00.000
5,antioquia,5697,SANTUARIO,ESTACION DE SERVICIO LA AMISTAD DE EL SANTUARIO,TERPEL,Carrera 53 No 45 B - 40,GASOLINA CORRIENTE OXIGENADA,8983,1,2018-05-03T00:00:00.000
5,antioquia,5659,SAN JUAN DE URABA,ESTACION ORIENTE,TEXACO,CALLE 20 No. 16-58,GASOLINA CORRIENTE OXIGENADA,9540,1,2018-05-03T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO EL MULERO,MOBIL,VIA ALTERNA E INTERNA KILOMETRO 13 BARRIO CARLOS OLMES,BIODIESEL EXTRA,8216,1,2018-05-03T00:00:00.000
5,antioquia,5736,SEGOVIA,ESTACION DE SERVICIO EL OASIS,TERPEL,Calle 47 No. 54C-51,BIODIESEL EXTRA,8570,1,2018-05-03T00:00:00.000
5,antioquia,5660,SAN LUIS,ESTACION DE SERVICIO INVERSIONES AGUDELO SUAREZ,ZEUSS,AUTOPISTA MEDELLIN- BOGOTA KILOMETRO 120 VEREDA EL CRUCE,BIODIESEL EXTRA,8399,1,2018-05-03T00:00:00.000
5,antioquia,5736,SEGOVIA,ESTACION DE SERVICIO EL OASIS,TERPEL,Calle 47 No. 54C-51,GASOLINA EXTRA OXIGENADA,11780,1,2018-05-03T00:00:00.000
5,antioquia,5088,BELLO,ESTACION DE SERVICIO PORTAL DEL NORTE,MOBIL,DIAGONAL 50A No. 42B-255,BIODIESEL EXTRA,8290,1,2018-05-03T00:00:00.000
5,antioquia,5266,ENVIGADO,ESTACION DE SERVICIO TEXACO ESTRELLA DE ORIENTE,TEXACO,Km 14 Vte Las Palmas,GASOLINA EXTRA OXIGENADA,12146,1,2018-05-03T00:00:00.000
5,antioquia,5631,SABANETA,EDS COMDECOM SANTA MARIA,TEXACO,CRA 48 AV LAS VEGAS ENTRE CL 72 SUR Y CL 73 SUR,GASOLINA CORRIENTE OXIGENADA,9140,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,SERVICENTRO ESSO ESTADIO,MOBIL,Carrera 70 No. 49 B -28,BIODIESEL EXTRA,8830,1,2018-05-03T00:00:00.000
